format:
number wordrootinstance numberedinstance verbclassinstance numberedinstance
1017 climb 1 calibratable_cos 1
1018 fall 20 calibratable_cos 1
1019 rise 0 calibratable_cos 1
1020 soar 2 calibratable_cos 1
1021 lower 2 calibratable_cos 1
1022 swell 3 calibratable_cos 1
1023 cuddle 0 marry 0
1024 date 3 marry 0
1025 nuzzle 1 marry 0
1026 pet 1 marry 0
1027 stab 0 poison 0
1028 eat 1 eat 0
1029 eat 0 eat 0
1030 drink 0 eat 1
1031 bus 2 vehicle 1
1032 chariot 1 vehicle 1
1033 ferry 2 vehicle 1
1034 sledge 0 vehicle 1
1035 sledge 1 vehicle 1
1036 boil 2 cooking 0
1037 heat 0 cooking 0
1038 percolate 2 cooking 0
